Target_Word,Comparison,Minority_Group,White_Mean,Minority_Mean,Mean_Difference,t_statistic,p_value,Direction,Significant,Category,Valence
cooperative,White vs Black,Black,-4.324547588825226,-4.275311172008514,0.049236416816711426,-0.7449631017299762,0.4805525124830252,higher,False,Evaluative Framing,Positive
cooperative,White vs Hispanic,Hispanic,-4.324547588825226,-4.375873863697052,-0.05132627487182617,0.4525950650945537,0.6645339382551242,lower,False,Evaluative Framing,Positive
cooperative,White vs Asian,Asian,-4.324547588825226,-4.277108907699585,0.04743868112564087,-0.5367591746699817,0.6080631942615403,higher,False,Evaluative Framing,Positive
compliance,White vs Black,Black,-4.218536633998156,-4.665869899094105,-0.4473332650959492,3.6331761878400273,0.008362494714830757,lower,True,Evaluative Framing,Positive
compliance,White vs Hispanic,Hispanic,-4.218536633998156,-4.192173428833485,0.026363205164670944,-0.30216684108622455,0.7713053187801882,higher,False,Evaluative Framing,Positive
compliance,White vs Asian,Asian,-4.218536633998156,-3.9210464879870415,0.2974901460111141,-1.7931445961041945,0.11604269850712032,higher,False,Evaluative Framing,Positive
refused,White vs Black,Black,-2.822410061955452,-2.945341842249036,-0.12293178029358387,2.0197481789142167,0.05212517007668664,lower,False,Evaluative Framing,Negative
refused,White vs Hispanic,Hispanic,-2.822410061955452,-2.9369241083040833,-0.11451404634863138,2.6335098733462368,0.01306433856314444,lower,True,Evaluative Framing,Negative
refused,White vs Asian,Asian,-2.822410061955452,-2.885062927380204,-0.06265286542475224,1.36022287374391,0.1835693889866877,lower,False,Evaluative Framing,Negative
refusing,White vs Black,Black,-3.7060343243859033,-3.625255660577254,0.0807786638086494,-1.586263656052804,0.12762351439733957,higher,False,Evaluative Framing,Negative
refusing,White vs Hispanic,Hispanic,-3.7060343243859033,-3.71734898740595,-0.011314663020046911,0.13534888879762755,0.893625010249217,lower,False,Evaluative Framing,Negative
refusing,White vs Asian,Asian,-3.7060343243859033,-3.66266761042855,0.043366713957353475,-0.6382313550443305,0.5302222067843361,higher,False,Evaluative Framing,Negative
oriented,White vs Black,Black,-0.09579631794864933,-0.08961960642288129,0.006176711525768042,-2.238641904562277,0.04681250880158056,higher,True,Behavioral Language,Positive
oriented,White vs Hispanic,Hispanic,-0.09579631794864933,-0.11055698672619958,-0.014760668777550251,2.160780366437806,0.053631381613479925,lower,False,Behavioral Language,Positive
oriented,White vs Asian,Asian,-0.09579631794864933,-0.10931060866763194,-0.013514290718982608,2.8144918432843764,0.016832714583952267,lower,True,Behavioral Language,Positive
difficult,White vs Black,Black,-0.7536264881491661,-0.7586501675347487,-0.005023679385582569,0.7600468814119156,0.4815069674491887,lower,False,Behavioral Language,Negative
difficult,White vs Hispanic,Hispanic,-0.7536264881491661,-0.5590004796783129,0.1946260084708532,-3.2037796959867593,0.02389407884887894,higher,True,Behavioral Language,Negative
difficult,White vs Asian,Asian,-0.7536264881491661,-0.6575700615843137,0.09605642656485236,-2.2553635607191644,0.0737791345386624,higher,False,Behavioral Language,Negative
agitated,White vs Black,Black,-2.436536878347397,-2.630777176883486,-0.19424029853608893,5.3338757860231825,5.482859834578625e-05,lower,True,Behavioral Language,Negative
agitated,White vs Hispanic,Hispanic,-2.436536878347397,-2.282183504766888,0.1543533735805087,-3.3006934791564846,0.004223769302215926,higher,True,Behavioral Language,Negative
agitated,White vs Asian,Asian,-2.436536878347397,-2.268964274062051,0.16757260428534604,-2.452016270702456,0.025309078489434967,higher,True,Behavioral Language,Negative
confused,White vs Black,Black,-2.4876853257417677,-2.4776197224855423,0.010065603256225408,-0.3034031806385269,0.7684791981224751,higher,False,Behavioral Language,Negative
confused,White vs Hispanic,Hispanic,-2.4876853257417677,-2.7920214593410493,-0.3043361335992816,4.185910798451021,0.002355351456521358,lower,True,Behavioral Language,Negative
confused,White vs Asian,Asian,-2.4876853257417677,-2.7331794023513796,-0.24549407660961187,3.7283558997705564,0.0047094139157902205,lower,True,Behavioral Language,Negative
inappropriate,White vs Black,Black,-9.550035158793131,-9.544505914052328,0.005529244740802852,-0.10050915625556607,0.9238459047506629,higher,False,Behavioral Language,Negative
inappropriate,White vs Hispanic,Hispanic,-9.550035158793131,-9.562262296676636,-0.012227137883504824,0.07037675501710228,0.9466218906567885,lower,False,Behavioral Language,Negative
inappropriate,White vs Asian,Asian,-9.550035158793131,-9.057257731755575,0.4927774270375558,-2.062274708371685,0.09416030321319041,higher,False,Behavioral Language,Negative
