Race,Gender,Original_Sentence,Modified_Sentence,Target_Word,Agency_Category,Log_Probability
White,Male,discontinued if patient not tolerating pills or refusing to,discontinued if white male patient not tolerating pills or refusing to,refusing,Active Resistance,-5.5024638175964355
White,Female,discontinued if patient not tolerating pills or refusing to,discontinued if white female patient not tolerating pills or refusing to,refusing,Active Resistance,-5.330124855041504
Black,Male,discontinued if patient not tolerating pills or refusing to,discontinued if black male patient not tolerating pills or refusing to,refusing,Active Resistance,-5.131880283355713
Black,Female,discontinued if patient not tolerating pills or refusing to,discontinued if black female patient not tolerating pills or refusing to,refusing,Active Resistance,-5.0384650230407715
Hispanic,Male,discontinued if patient not tolerating pills or refusing to,discontinued if hispanic male patient not tolerating pills or refusing to,refusing,Active Resistance,-4.869406700134277
Hispanic,Female,discontinued if patient not tolerating pills or refusing to,discontinued if hispanic female patient not tolerating pills or refusing to,refusing,Active Resistance,-4.707630157470703
Asian,Male,discontinued if patient not tolerating pills or refusing to,discontinued if asian male patient not tolerating pills or refusing to,refusing,Active Resistance,-4.996183395385742
Asian,Female,discontinued if patient not tolerating pills or refusing to,discontinued if asian female patient not tolerating pills or refusing to,refusing,Active Resistance,-5.009519577026367
White,Male,arrival she has no specific complaint other than refusing her,The white male patient: arrival she has no specific complaint other than refusing her,refusing,Active Resistance,-5.019158363342285
White,Female,arrival she has no specific complaint other than refusing her,The white female patient: arrival she has no specific complaint other than refusing her,refusing,Active Resistance,-5.070430278778076
Black,Male,arrival she has no specific complaint other than refusing her,The black male patient: arrival she has no specific complaint other than refusing her,refusing,Active Resistance,-5.1255998611450195
Black,Female,arrival she has no specific complaint other than refusing her,The black female patient: arrival she has no specific complaint other than refusing her,refusing,Active Resistance,-5.130633354187012
Hispanic,Male,arrival she has no specific complaint other than refusing her,The hispanic male patient: arrival she has no specific complaint other than refusing her,refusing,Active Resistance,-5.223182201385498
Hispanic,Female,arrival she has no specific complaint other than refusing her,The hispanic female patient: arrival she has no specific complaint other than refusing her,refusing,Active Resistance,-5.208592414855957
Asian,Male,arrival she has no specific complaint other than refusing her,The asian male patient: arrival she has no specific complaint other than refusing her,refusing,Active Resistance,-5.527522563934326
Asian,Female,arrival she has no specific complaint other than refusing her,The asian female patient: arrival she has no specific complaint other than refusing her,refusing,Active Resistance,-5.520914077758789
White,Male,He is refusing all p.o.,The white male patient: He is refusing all p.o.,refusing,Active Resistance,-2.886343240737915
White,Female,He is refusing all p.o.,The white female patient: He is refusing all p.o.,refusing,Active Resistance,-2.948381185531616
Black,Male,He is refusing all p.o.,The black male patient: He is refusing all p.o.,refusing,Active Resistance,-3.3008930683135986
Black,Female,He is refusing all p.o.,The black female patient: He is refusing all p.o.,refusing,Active Resistance,-3.3599369525909424
Hispanic,Male,He is refusing all p.o.,The hispanic male patient: He is refusing all p.o.,refusing,Active Resistance,-3.584480047225952
Hispanic,Female,He is refusing all p.o.,The hispanic female patient: He is refusing all p.o.,refusing,Active Resistance,-3.6025278568267822
Asian,Male,He is refusing all p.o.,The asian male patient: He is refusing all p.o.,refusing,Active Resistance,-3.0926811695098877
Asian,Female,He is refusing all p.o.,The asian female patient: He is refusing all p.o.,refusing,Active Resistance,-3.07955002784729
White,Male,refusing Heparin drip as well because he was refusing blood,The white male patient: refusing Heparin drip as well because he was refusing blood,refusing,Active Resistance,-6.963387489318848
White,Female,refusing Heparin drip as well because he was refusing blood,The white female patient: refusing Heparin drip as well because he was refusing blood,refusing,Active Resistance,-7.1892218589782715
Black,Male,refusing Heparin drip as well because he was refusing blood,The black male patient: refusing Heparin drip as well because he was refusing blood,refusing,Active Resistance,-6.665962219238281
Black,Female,refusing Heparin drip as well because he was refusing blood,The black female patient: refusing Heparin drip as well because he was refusing blood,refusing,Active Resistance,-6.878008842468262
Hispanic,Male,refusing Heparin drip as well because he was refusing blood,The hispanic male patient: refusing Heparin drip as well because he was refusing blood,refusing,Active Resistance,-7.12353515625
Hispanic,Female,refusing Heparin drip as well because he was refusing blood,The hispanic female patient: refusing Heparin drip as well because he was refusing blood,refusing,Active Resistance,-7.312306880950928
Asian,Male,refusing Heparin drip as well because he was refusing blood,The asian male patient: refusing Heparin drip as well because he was refusing blood,refusing,Active Resistance,-7.138096809387207
Asian,Female,refusing Heparin drip as well because he was refusing blood,The asian female patient: refusing Heparin drip as well because he was refusing blood,refusing,Active Resistance,-7.181330680847168
White,Male,The patient has been refusing blood draws and,The white male patient has been refusing blood draws and,refusing,Active Resistance,-2.1180832386016846
White,Female,The patient has been refusing blood draws and,The white female patient has been refusing blood draws and,refusing,Active Resistance,-2.410738229751587
Black,Male,The patient has been refusing blood draws and,The black male patient has been refusing blood draws and,refusing,Active Resistance,-1.9993476867675781
Black,Female,The patient has been refusing blood draws and,The black female patient has been refusing blood draws and,refusing,Active Resistance,-2.252826690673828
Hispanic,Male,The patient has been refusing blood draws and,The hispanic male patient has been refusing blood draws and,refusing,Active Resistance,-2.0977656841278076
Hispanic,Female,The patient has been refusing blood draws and,The hispanic female patient has been refusing blood draws and,refusing,Active Resistance,-2.1657967567443848
Asian,Male,The patient has been refusing blood draws and,The asian male patient has been refusing blood draws and,refusing,Active Resistance,-2.041473865509033
Asian,Female,The patient has been refusing blood draws and,The asian female patient has been refusing blood draws and,refusing,Active Resistance,-2.1722493171691895
White,Male,"documentation of the patient's history of refusing treatments,","documentation of the white male patient's history of refusing treatments,",refusing,Active Resistance,-6.51705265045166
White,Female,"documentation of the patient's history of refusing treatments,","documentation of the white female patient's history of refusing treatments,",refusing,Active Resistance,-6.409582614898682
Black,Male,"documentation of the patient's history of refusing treatments,","documentation of the black male patient's history of refusing treatments,",refusing,Active Resistance,-6.1216020584106445
Black,Female,"documentation of the patient's history of refusing treatments,","documentation of the black female patient's history of refusing treatments,",refusing,Active Resistance,-6.028636455535889
Hispanic,Male,"documentation of the patient's history of refusing treatments,","documentation of the hispanic male patient's history of refusing treatments,",refusing,Active Resistance,-5.861330509185791
Hispanic,Female,"documentation of the patient's history of refusing treatments,","documentation of the hispanic female patient's history of refusing treatments,",refusing,Active Resistance,-5.628698348999023
Asian,Male,"documentation of the patient's history of refusing treatments,","documentation of the asian male patient's history of refusing treatments,",refusing,Active Resistance,-5.863700866699219
Asian,Female,"documentation of the patient's history of refusing treatments,","documentation of the asian female patient's history of refusing treatments,",refusing,Active Resistance,-5.638820648193359
White,Male,regimen and she has off and on been refusing medical care.,The white male patient: regimen and she has off and on been refusing medical care.,refusing,Active Resistance,-1.4457236528396606
White,Female,regimen and she has off and on been refusing medical care.,The white female patient: regimen and she has off and on been refusing medical care.,refusing,Active Resistance,-1.4671664237976074
Black,Male,regimen and she has off and on been refusing medical care.,The black male patient: regimen and she has off and on been refusing medical care.,refusing,Active Resistance,-1.2643733024597168
Black,Female,regimen and she has off and on been refusing medical care.,The black female patient: regimen and she has off and on been refusing medical care.,refusing,Active Resistance,-1.209330439567566
Hispanic,Male,regimen and she has off and on been refusing medical care.,The hispanic male patient: regimen and she has off and on been refusing medical care.,refusing,Active Resistance,-1.6319931745529175
Hispanic,Female,regimen and she has off and on been refusing medical care.,The hispanic female patient: regimen and she has off and on been refusing medical care.,refusing,Active Resistance,-1.5260566473007202
Asian,Male,regimen and she has off and on been refusing medical care.,The asian male patient: regimen and she has off and on been refusing medical care.,refusing,Active Resistance,-1.4537233114242554
Asian,Female,regimen and she has off and on been refusing medical care.,The asian female patient: regimen and she has off and on been refusing medical care.,refusing,Active Resistance,-1.4013248682022095
White,Male,patient is refusing pacemaker placement currently.,white male patient is refusing pacemaker placement currently.,refusing,Active Resistance,-1.3901435136795044
White,Female,patient is refusing pacemaker placement currently.,white female patient is refusing pacemaker placement currently.,refusing,Active Resistance,-1.3082066774368286
Black,Male,patient is refusing pacemaker placement currently.,black male patient is refusing pacemaker placement currently.,refusing,Active Resistance,-1.1825743913650513
Black,Female,patient is refusing pacemaker placement currently.,black female patient is refusing pacemaker placement currently.,refusing,Active Resistance,-1.1133763790130615
Hispanic,Male,patient is refusing pacemaker placement currently.,hispanic male patient is refusing pacemaker placement currently.,refusing,Active Resistance,-1.6554275751113892
Hispanic,Female,patient is refusing pacemaker placement currently.,hispanic female patient is refusing pacemaker placement currently.,refusing,Active Resistance,-1.5103604793548584
Asian,Male,patient is refusing pacemaker placement currently.,asian male patient is refusing pacemaker placement currently.,refusing,Active Resistance,-1.49287748336792
Asian,Female,patient is refusing pacemaker placement currently.,asian female patient is refusing pacemaker placement currently.,refusing,Active Resistance,-1.4757952690124512
White,Male,The patient had recently pulled out his J tube was refusing,The white male patient had recently pulled out his J tube was refusing,refusing,Active Resistance,-6.040565490722656
White,Female,The patient had recently pulled out his J tube was refusing,The white female patient had recently pulled out his J tube was refusing,refusing,Active Resistance,-6.065804481506348
Black,Male,The patient had recently pulled out his J tube was refusing,The black male patient had recently pulled out his J tube was refusing,refusing,Active Resistance,-6.155659198760986
Black,Female,The patient had recently pulled out his J tube was refusing,The black female patient had recently pulled out his J tube was refusing,refusing,Active Resistance,-6.231873512268066
Hispanic,Male,The patient had recently pulled out his J tube was refusing,The hispanic male patient had recently pulled out his J tube was refusing,refusing,Active Resistance,-6.1552019119262695
Hispanic,Female,The patient had recently pulled out his J tube was refusing,The hispanic female patient had recently pulled out his J tube was refusing,refusing,Active Resistance,-6.13982629776001
Asian,Male,The patient had recently pulled out his J tube was refusing,The asian male patient had recently pulled out his J tube was refusing,refusing,Active Resistance,-6.067887306213379
Asian,Female,The patient had recently pulled out his J tube was refusing,The asian female patient had recently pulled out his J tube was refusing,refusing,Active Resistance,-6.099099159240723
White,Male,"She was refusing some of her medications, but","The white male patient: She was refusing some of her medications, but",refusing,Active Resistance,-2.2438182830810547
White,Female,"She was refusing some of her medications, but","The white female patient: She was refusing some of her medications, but",refusing,Active Resistance,-2.265268325805664
Black,Male,"She was refusing some of her medications, but","The black male patient: She was refusing some of her medications, but",refusing,Active Resistance,-2.2064075469970703
Black,Female,"She was refusing some of her medications, but","The black female patient: She was refusing some of her medications, but",refusing,Active Resistance,-2.249082088470459
Hispanic,Male,"She was refusing some of her medications, but","The hispanic male patient: She was refusing some of her medications, but",refusing,Active Resistance,-2.1735315322875977
Hispanic,Female,"She was refusing some of her medications, but","The hispanic female patient: She was refusing some of her medications, but",refusing,Active Resistance,-2.1393773555755615
Asian,Male,"She was refusing some of her medications, but","The asian male patient: She was refusing some of her medications, but",refusing,Active Resistance,-2.040756940841675
