Word,Minority_Group,Model_Difference,Model_Direction,Corpus_Rate_Difference,Corpus_Direction,Alignment,Method
cooperative,Black,0.0492364168167114,higher,-1.529818496110631,lower,CONTRADICTS corpus,LPBA
cooperative,Hispanic,-0.0513262748718261,lower,7.893258426966292,higher,CONTRADICTS corpus,LPBA
cooperative,Asian,0.0474386811256408,higher,0.15516318887105385,higher,REFLECTS corpus,LPBA
compliance,Black,-0.4473332650959492,lower,2.5237683664649966,higher,CONTRADICTS corpus,LPBA
compliance,Hispanic,0.0263632051646709,higher,-1.0018726591760299,lower,CONTRADICTS corpus,LPBA
compliance,Asian,0.2974901460111141,higher,4.355270197966828,higher,REFLECTS corpus,LPBA
refused,Black,-0.1229317802935838,lower,7.631806395851339,higher,CONTRADICTS corpus,LPBA
refused,Hispanic,-0.1145140463486313,lower,4.747191011235954,higher,CONTRADICTS corpus,LPBA
refused,Asian,-0.0626528654247522,lower,-7.752808988764046,lower,REFLECTS corpus,LPBA
refusing,Black,0.0807786638086494,higher,4.468452895419188,higher,REFLECTS corpus,LPBA
refusing,Hispanic,-0.0113146630200469,lower,-1.6853932584269662,lower,REFLECTS corpus,LPBA
refusing,Asian,0.0433667139573534,higher,-1.6853932584269662,lower,CONTRADICTS corpus,LPBA
oriented,Black,0.006176711525768,higher,3.3362143474503085,higher,REFLECTS corpus,LPBA
oriented,Hispanic,-0.0147606687775502,lower,3.46441947565544,higher,CONTRADICTS corpus,LPBA
oriented,Asian,-0.0135142907189826,lower,-4.868913857677903,lower,REFLECTS corpus,LPBA
difficult,Black,-0.0050236793855825,lower,5.229040622299053,higher,CONTRADICTS corpus,LPBA
difficult,Hispanic,0.1946260084708532,higher,-4.5786516853932575,lower,CONTRADICTS corpus,LPBA
difficult,Asian,0.0960564265648523,higher,1.96896736222579,higher,REFLECTS corpus,LPBA
agitated,Black,-0.1942402985360889,lower,0.2333621434745039,higher,CONTRADICTS corpus,LPBA
agitated,Hispanic,0.1543533735805087,higher,-0.21535580524344589,lower,CONTRADICTS corpus,LPBA
agitated,Asian,0.167572604285346,higher,-4.382022471910112,lower,CONTRADICTS corpus,LPBA
confused,Black,0.0100656032562254,higher,-0.5617977528089888,lower,CONTRADICTS corpus,LPBA
confused,Hispanic,-0.3043361335992816,lower,-2.2284644194756567,lower,REFLECTS corpus,LPBA
confused,Asian,-0.2454940766096118,lower,-5.799892990904227,lower,REFLECTS corpus,LPBA
requested,Black Male,-0.2465225916642408,lower,3.9671564390665512,higher,CONTRADICTS corpus,PA
agreed,Black Female,-0.2786415219306946,lower,0.2160760587726891,higher,CONTRADICTS corpus,PA
requested,Black Female,-0.1774961581596965,lower,3.9671564390665512,higher,CONTRADICTS corpus,PA
agreed,Black Male,-0.2174956547586544,lower,0.2160760587726891,higher,CONTRADICTS corpus,PA
requested,Asian Female,0.2175686359405517,higher,-4.49438202247191,lower,CONTRADICTS corpus,PA
declined,Black Female,-0.2791362524032594,lower,2.506482281763181,higher,CONTRADICTS corpus,PA
declined,Black Male,-0.2116668303807576,lower,2.506482281763181,higher,CONTRADICTS corpus,PA
presented,Black Female,0.0534463286399842,higher,8.859118409680207,higher,REFLECTS corpus,PA
